people:firstName,people:lastName,people:salutation,people:personTitle,people:pseudonym,people:nameSuffix,people:maidenName,people:phoneNumber,Interest,Profession,people:languages,people:tags,people:mailingLists,people:birthDate,people:emailAddress,people:emailAddressOther,people:org,people:role,people:department,PhoneDirect,Facebook,jcr:description,
,Beck,Mr.,,,,,,,Redakteur,,"Press, TV","Generic Newsletter, Jury",,,,www.wsby-tv.de,Director Main Editorial,Main Editorial,+49 6131 707 2475,https://www.facebook.com/beckwsby,,
Annekatrin,Bickel,Mrs.,,Anka,,,+49 161 5554810,,Producer,,Film Production,Public Newsletter,,ah@worksgoodmedien.de,anneka@bickel.de,www.worksgoodmedien.de,Managing Director,,+49 30 5557670,,,
Wen Ho,Chen,,,,,,,,,,,Public Newsletter,,,,,,,,,,
Roger,Corman,Mr.,,,,,,,,,,"Public Newsletter, Invitation - Opening Ceremony",,,,,,,,,,
Carl,Cumpel,Mr.,Dr.,Carlos,,,,,"Filmmaker, Producer",,Film Production,Invitation - Closing Gala,,,,www.studiooranienburg.com,Managing Director,Board,+49 331 722 20 66,,"But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness. No one rejects, dislikes, or avoids pleasure itself, because it is pleasure, but ",
Susan,Eldred,Mrs.,,Suzie,,Barsi,,Documentary,"Filmmaker, Producer",German,Film Production,"Generic Newsletter, Jury, Invitation - Opening Ceremony",,s.eldred@symbiontfilm.de,,www.symbiontfilm.de,Managing Director,,+49 30 2556240,,"Nor again is there anyone who loves or pursues or desires to obtain pain of itself, because it is pain, but because occasionally circumstances occur in which toil and pain can procure him some great pleasure. To take a trivial example, which of us ever undertakes laborious physical exercise, except to obtain some advantage from it?",
John,Ford,Mr.,,,,,,,,,,"Invitation - Opening Ceremony, Invitation - Closing Gala",,,,,,,,,,
Teresina,Frandsen,Mrs.,,,,,,,"Filmmaker, Producer",,Film Production,"Generic Newsletter, Jury",13/08/1968,tere@lemonfilm.de,,lemonfilm.de,"Managing Director, Producer",,+49 30 55208149 0,,"Far far away, behind the word mountains, far from the countries Vokalia and Consonantia, there live the blind texts. Separated they live in Bookmarksgrove right ",
Kinji,Fukasaku,Mr.,,,,,,,,,,,,,,,,,,,,
Benjamin,Greiner,Mr.,,Benjie,,,,,"Producer, Distributor",,"Film Production, Distributor, VIP",Public Newsletter,,,,www.majorsales.de,Managing Director,,+49 30 888 14 48 0,,,
Martin,Griesche,Mr.,,,,,,Documentary,Produzent,German,"Film Production, VIP",Public Newsletter,,blue@martin.de,,www.blue-media.de,"Managing Director, Producer",,+49 30 999 06 100,,,
Angelika,Helbling,Mrs.,,,,,+49 179 344 55 80,Documentary,Press,,"Press, Radio",Public Newsletter,,a.helbling@kkd.de,,www.mediendienst.kkd.de,Director,,+49 30 244 44 565,,,
Thanassis,Hempel,,,,,,,,Producer,,Film Production,,,office@twentysevenfilm.eu,,www.twentysevenfilm.eu,Managing Director,,+49 30 11221750,,,
Stefan,Hendel,Mr.,,Rocky,,,+49 176 4333 438,Kids Film,Producer,,Film Production,Generic Newsletter,,stefan.hendel@weydelundco.de,,www.weydelundco.de,Managing Director,,+49 30 4777 2980,,,
Björn,Hering,Mr.,,,,,,,Distributorer,,Distributor,"Generic Newsletter, Invitation - Opening Ceremony",,hering@saltnpepper.de,ollisdoll@gmx.de,www.saltnpepper.de,Managing Director,,+49 30 2882 9090,https://www.facebook.com/bjorn.koll.9,,
Uli,Herrmann,Mr.,,,,,,,"Teacher, Producer",,Film School,Generic Newsletter,,u.hermann@fatvu.com,uhermann78@berlin.de,www.fatvu.com,Production Supervisor,Production,+49 331 6252 562,,,
Siegfried,Hofmann,Mr.,,,,,,Theatre,,,"Film Fund, VIP",Generic Newsletter,,siegfried.hofmann@berlin.de,,www.medienfonds.berlin.de,Director,,+49 30 90 222 744,,,
Alexander,Hogan,Mr.,,,,,,,Redakteur,,"TV, Press",Generic Newsletter,,hogan.a@wsby-tv.de,,www.wsby-tv.de,Editor WSBY Fernsehspiel,WSBY Fernsehspiel,+49 6661 70 1,https://www.facebook.com/alex.hogan,,
John,Ireland,Mr.,,,,,,,,,,Generic Newsletter,,,,,,,,,,
F. Richard,Jones,Mr.,,,,,,,,,,"Generic Newsletter, Public Newsletter",,,,,,,,,,
Duane,Jones,,,,,,,,,,,Generic Newsletter,,,,,,,,,,
Felix,Kloos,Mr.,,,,,,,,,Marketing,Generic Newsletter,,fk@zoominservice.de,,www.zoominservice.de,Managing Director,,+49 30 5550 6868,,,
Thomas,Köllner,Mr.,Prof.,,III.,,,,"Filmmaker, Regisseur, Producer",German,"Film Production, Director, Film School",Generic Newsletter,,thomas.koellner@filmakademie-berlin.de,schademade@yahoo.com,www.filmakademie-berlin.de,Managing Director,,,https://www.facebook.com/thomas.koellner.31,,
Werner,Krauss,Mr.,,,,,,,,,,Generic Newsletter,,,,,,,,,,
Rainer,Kunz,Mr.,Dr.,,,,,Theatre,Curator,,"Filmmuseum, Film Festival Kurator",Generic Newsletter,,retrospektive@filmfest-potsdam.de,,www.filmfest-potsdam.de,"Curator Retrospektive, Hommage","Retrospektive, Hommage",+49 30 900 903 26,,,
Angela,Langbehn,Mrs.,,,,,+49 178 456 20 88,,Filmmaker,,Film Production,Generic Newsletter,,angela.langbehn@fatvu.com,angela@langbehn.net,www.fatvu.com,Student,MBA program film and TV production,,https://www.facebook.com/angela.langbehn,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi ",
Nina,Paley,,,,,,,,,,,Generic Newsletter,,,,,,,,,,
George A.,Romero,Mr.,,,,,,,,,,Generic Newsletter,,,,,,,,,,
Martin,Rother,Mr.,,,,,,Kids Film,"Journalist, Press",,"Press, Communication Sponsor, VIP",Generic Newsletter,27/08/1974,kinoredaktion@citymag.de,,www.citymag.de,Director Ressort Cinema,Ressort Cinema,+49 30 29029 44010,,,
Wiegald,Schadt,Mr.,,,,,,,Curator,,"Film Festival, VIP",Generic Newsletter,,panorama@filmfest-potsdam.de,,www.filmfest-potsdam.de,Director Panorama,Panorama,+49 30 29920 400,,,
Ulrich,Schimk,Mr.,,Pello,,,,Video Art,"Filmmaker, Producer",,Film Production,Generic Newsletter,,u.schimk@kaminskifilm.de,,www.kaminskifilm.de,Managing Director,,+49 30 38878460,,,
Hans-Christian,Schirm,Mr.,,,,,,,"Filmmaker, Director, Producer",,Film Production,Generic Newsletter,,info@23film.de,,www.23film.de,Managing Director,,+49 30 767602 0,https://www.facebook.com/hanschristian.schirm.9,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready ",
Christoph,Schmid,Mr.,,,,,,Video Art,Curator,,"Film Festival, VIP",Generic Newsletter,09/12/1979,forum@fdk-berlin.de,,www.filmfest-potsdam.de,Director International Special Fokus,International Special Fokus,+49 30 55155200,,"But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness. No one rejects, ",
Judith,Schwarz,Mrs.,,,,Capes,,Documentary,"Filmmaker, Producer","German, English","Film Production, VIP",Generic Newsletter,,judyschwarz@mms.com,judyly@hotmail.com,www.mms.com,Managing Director,Board,+49 30 246525 0,,,
Heike,Seifert,Mrs.,,,,,,,Distributor,,Distributor,,,,,,,,,https://www.facebook.com/heike.seifert,,
Linda,Singh,Mrs.,,,,,,"Arts, Film",Curator,,"Film Festival, Berlinale VIP","Generic Newsletter, Jury",,singh@saltnpepper.de,lindasingh@gmail.com,www.saltnpepper.de,Director Perspektive Sektion,Perspektive Sektion,+49 30 22930456,https://www.facebook.com/linda.singh,"But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth,",
Curt,Siodmak,Mr.,,,,,,,,,,,,,,,,,,,,
Frauke,Stein,Mrs.,,,,,,Video Art,"Curator, Press",,"Press, Film Festival, VIP",Generic Newsletter,,press@filmfest-potsdam.de,,www.filmfest-potsdam.de,Head of Public Relations,Presse,+49 30 9992 0737,,,
